Frame,Class_0,Class_0_total,Class_0_pos,Class_1,Class_1_total,Class_1_pos,Class_2,Class_2_total,Class_2_pos,Class_3,Class_3_total,Class_3_pos,Class_4,Class_4_total,Class_4_pos,Class_5,Class_5_total,Class_5_pos,FrameIndex
300,0.4656,131,70,0.4308,65,37,0.7143,14,4,0.0,2,2,0.3333,6,4,0.8,20,4,150
302,0.4656,131,70,0.4308,65,37,0.7143,14,4,0.0,2,2,0.3333,6,4,0.8,20,4,151
304,0.4809,131,68,0.4462,65,36,0.7857,14,3,0.0,2,2,0.3333,6,4,0.8,20,4,152
306,0.4962,131,66,0.4462,65,36,0.7857,14,3,0.0,2,2,0.3333,6,4,0.8,20,4,153
308,0.5038,131,65,0.4615,65,35,0.7857,14,3,0.0,2,2,0.3333,6,4,0.8,20,4,154
310,0.5038,131,65,0.4615,65,35,0.7857,14,3,0.0,2,2,0.3333,6,4,0.8,20,4,155
312,0.5115,131,64,0.4615,65,35,0.7857,14,3,0.0,2,2,0.3333,6,4,0.8,20,4,156
314,0.5115,131,64,0.4615,65,35,0.7857,14,3,0.0,2,2,0.3333,6,4,0.8,20,4,157
316,0.5115,131,64,0.4615,65,35,0.7857,14,3,0.0,2,2,0.3333,6,4,0.8,20,4,158
318,0.5115,131,64,0.4769,65,34,0.7857,14,3,0.0,2,2,0.3333,6,4,0.8,20,4,159
320,0.5115,131,64,0.4769,65,34,0.7857,14,3,0.0,2,2,0.3333,6,4,0.8,20,4,160
322,0.5115,131,64,0.4769,65,34,0.7857,14,3,0.0,2,2,0.3333,6,4,0.8,20,4,161
324,0.5115,131,64,0.4923,65,33,0.7857,14,3,0.0,2,2,0.3333,6,4,0.8,20,4,162
326,0.5191,131,63,0.4923,65,33,0.7857,14,3,0.0,2,2,0.3333,6,4,0.8,20,4,163
328,0.5344,131,61,0.4923,65,33,0.7857,14,3,0.0,2,2,0.3333,6,4,0.8,20,4,164
330,0.542,131,60,0.4923,65,33,0.7857,14,3,0.0,2,2,0.3333,6,4,0.8,20,4,165
332,0.542,131,60,0.4923,65,33,0.7857,14,3,0.0,2,2,0.3333,6,4,0.85,20,3,166
334,0.542,131,60,0.4923,65,33,0.7857,14,3,0.0,2,2,0.3333,6,4,0.85,20,3,167
336,0.542,131,60,0.4923,65,33,0.7857,14,3,0.0,2,2,0.3333,6,4,0.85,20,3,168
