CellID,Subtype,StartFrame,EndFrame,StartTimeSec,EndTimeSec,DurationSec,CompletionStatus,MeanChangeScore,MaxChangeScore,MeanSubtypeDelta,MeanShapeDelta,MeanTextureDelta,MeanHistDelta,StableFramesRequired,ChangeThreshold,MinDurationSec,EndpointSubtypeProb
87.0,semi_sickled,369,370.0,92.25,92.5,0.25,completed,0.012262395322613884,0.022540788364131002,0.019031725823879242,0.010391410653634617,0.004424321950258066,0.0036773681640625,6,0.03,0,0.7809747457504272
88.0,final_sickled,119,120.0,29.75,30.0,0.25,completed,0.006563556736364262,0.017544300120789558,0.008593893920381864,0.007070782671992977,0.0023970984135909625,0.0028127034505208335,6,0.03,0,0.9277042150497437
89.0,semi_sickled,322,335.0,80.5,83.75,3.25,completed,0.01920040255216817,0.0668113375955727,0.03917286006940736,0.007644290189394572,0.00331279828646479,0.003533257378472222,6,0.03,0,0.8598113059997559
90.0,final_sickled,279,280.0,69.75,70.0,0.25,completed,0.008860878429065149,0.01608713004970923,0.015525656441847483,0.005685500179727872,0.0023965289195378623,0.0028889973958333335,6,0.03,0,0.8992005586624146
93.0,final_sickled,338,339.0,84.5,84.75,0.25,completed,0.014763479700438134,0.02449650187045336,0.015604916960000992,0.021299648098647594,0.004799771597996975,0.0037333170572916665,6,0.03,0,0.7500573396682739
94.0,final_sickled,217,218.0,54.25,54.5,0.25,completed,0.006310556115931831,0.011180049658287318,0.004807622482379277,0.009150731881769994,0.004590108951864143,0.004887898763020833,6,0.03,0,0.9128969311714172
95.0,final_sickled,284,292.0,71.0,73.0,2.0,completed,0.045152203954057786,0.11659841707441956,0.07126627690516986,0.04223744417182528,0.00924790738365398,0.005652794471153846,6,0.03,0,0.6309326887130737
97.0,final_sickled,292,318.0,73.0,79.5,6.5,completed,0.023383832962023125,0.059162572209606884,0.039387875987637426,0.017630105049559665,0.005936721651514452,0.00572844474546371,6,0.03,0,0.6396273374557495
98.0,semi_sickled,373,374.0,93.25,93.5,0.25,completed,0.01938540554692736,0.029674533329671248,0.042116173853476845,0.004393711463004972,0.0038027564296498895,0.004206339518229167,6,0.03,0,0.6525783538818359
101.0,semi_sickled,327,330.0,81.75,82.5,0.75,completed,0.03171607725744252,0.16298321783542633,0.04700129292905331,0.032521089029614814,0.007455098151694983,0.004810333251953125,6,0.03,0,0.7813783288002014
104.0,semi_sickled,434,438.0,108.5,109.5,1.0,completed,0.021804302374625373,0.04954490790842101,0.03791819843981001,0.015391634466747442,0.00528972792542643,0.004709879557291667,6,0.03,0,0.5182650089263916
106.0,semi_sickled,194,206.0,48.5,51.5,3.0,completed,0.021389178398428212,0.08692534640431404,0.04100424007457845,0.011564313858637916,0.0037104683339267094,0.003809311810661765,6,0.03,0,0.8150302767753601
109.0,final_sickled,263,264.0,65.75,66.0,0.25,completed,0.014256581870722587,0.027387654595077037,0.02848784625530243,0.004444660638303806,0.006051965911562244,0.00439453125,6,0.03,0,0.7714545130729675
111.0,final_sickled,199,200.0,49.75,50.0,0.25,completed,0.008237028262616757,0.016715557023417205,0.009871749207377434,0.008823601878248155,0.00441764136000226,0.005182902018229167,6,0.03,0,0.9533668756484985
112.0,final_sickled,143,144.0,35.75,36.0,0.25,completed,0.0069909175474701145,0.012933506339322776,0.004481462140878041,0.011732444341760129,0.004682065744418651,0.004053751627604167,6,0.03,0,0.9309897422790527
113.0,final_sickled,359,360.0,89.75,90.0,0.25,completed,0.011230364539854537,0.014435376320034266,0.018960808714230854,0.007750645900766055,0.0034941484918817878,0.003972371419270833,6,0.03,0,0.6070365309715271
114.0,final_sickled,268,273.0,67.0,68.25,1.25,completed,0.014065902385482332,0.030847470252774657,0.016938953101634978,0.017592907804646528,0.004759448789991438,0.004302978515625,6,0.03,0,0.8523778915405273
115.0,final_sickled,122,123.0,30.5,30.75,0.25,completed,0.009942667190140734,0.01782213506521657,0.010787668948372206,0.01290037682823216,0.0051562521839514375,0.0037434895833333335,6,0.03,0,0.9350807070732117
