Video,CellID,Subtype,StartFrame,EndFrame,StartTimeSec,EndTimeSec,DurationSec,CompletionStatus,MeanChangeScore,MaxChangeScore,MeanSubtypeDelta,MeanShapeDelta,MeanTextureDelta,MeanHistDelta,StableFramesRequired,ChangeThreshold,ScoreMode,MinDurationSec,EndpointSubtypeProb
V1,139.0,semi_sickled,256,263.0,64.0,65.75,1.75,completed,0.01904091934799605,0.03686337958788499,0.035515716609855495,0.010937388452778881,0.004375005800587435,0.0036773681640625,6,0.05,probability,0,0.7134935259819031
V1,140.0,final_sickled,165,166.0,41.25,41.5,0.25,completed,0.01179801963104789,0.01881412621587515,0.01747431606054306,0.009719127362283567,0.006222474912647158,0.005030314127604167,6,0.05,probability,0,0.717703104019165
V1,141.0,final_sickled,99,105.0,24.75,26.25,1.5,completed,0.01796992139689709,0.06001129874493927,0.028499803082509476,0.014658037975261157,0.006720686564221978,0.004796808416193182,6,0.05,probability,0,0.9513785243034363
V1,143.0,semi_sickled,219,247.0,54.75,61.75,7.0,completed,0.01986827965385711,0.05361495530232787,0.03807524817459511,0.010864660956995618,0.00404785859758373,0.0026365337949810605,6,0.05,probability,0,0.5861836671829224
V1,145.0,final_sickled,153,154.0,38.25,38.5,0.25,completed,0.011156727523969796,0.023937051778193566,0.01769394241273403,0.008558060935077568,0.004108255923104783,0.0045623779296875,6,0.05,probability,0,0.8561508059501648
V1,148.0,final_sickled,100,101.0,25.0,25.25,0.25,completed,0.008561963103905631,0.013157371338456868,0.009046736794213453,0.011017392370073745,0.004170674365013838,0.004526774088541667,6,0.05,probability,0,0.9202272295951843
V1,149.0,semi_sickled,156,166.0,39.0,41.5,2.5,completed,0.01603081889009142,0.03068278207210824,0.03031382660071055,0.008040408634891113,0.00490225752388748,0.003826904296875,6,0.05,probability,0,0.5464985966682434
V1,151.0,semi_sickled,180,197.0,45.0,49.25,4.25,completed,0.02072542637804211,0.045995115768164396,0.039783674546263435,0.010138869388108353,0.005323881399817765,0.004782936789772727,6,0.05,probability,0,0.5994870662689209
V1,152.0,semi_sickled,327,333.0,81.75,83.25,1.5,completed,0.015558206558092603,0.030756323860259727,0.025276245718652553,0.012488656359809365,0.0037666820862796158,0.004846746271306818,6,0.05,probability,0,0.6997112035751343
V1,153.0,semi_sickled,188,194.0,47.0,48.5,1.5,completed,0.017689242222431033,0.040351996623212476,0.03167284618724476,0.010940772079100663,0.0036506472070786085,0.005876020951704545,6,0.05,probability,0,0.8184589147567749
V1,155.0,final_sickled,133,134.0,33.25,33.5,0.25,completed,0.014849582679711181,0.02238096246146597,0.024032212793827057,0.012285755128072543,0.0033125579357147217,0.004180908203125,6,0.05,probability,0,0.7189416885375977
V1,156.0,final_sickled,136,138.0,34.0,34.5,0.5,completed,0.014367543498519809,0.032488389429636305,0.02144933385508401,0.01164761558175087,0.0065175251636121955,0.007171630859375,6,0.05,probability,0,0.872340202331543
V1,159.0,final_sickled,269,291.0,67.25,72.75,5.5,completed,0.030016971857198597,0.1639113021781668,0.05406943763847704,0.020320678637492366,0.005882178135733638,0.00433349609375,6,0.05,probability,0,0.5773954391479492
V1,161.0,semi_sickled,209,220.0,52.25,55.0,2.75,completed,0.027786142868990282,0.11700041049625726,0.048811683896929026,0.019360628926733625,0.006510899736895226,0.00537109375,6,0.05,probability,0,0.7583193182945251
V1,162.0,final_sickled,93,94.0,23.25,23.5,0.25,completed,0.012096022646680164,0.023190020793117584,0.01497552233437697,0.01367756239293764,0.0069584333105012774,0.0035909016927083335,6,0.05,probability,0,0.9659676551818848
V1,163.0,semi_sickled,170,183.0,42.5,45.75,3.25,completed,0.027047921598002886,0.064692118804669,0.05209004051155514,0.014383460640803807,0.004274255175712622,0.005147298177083333,6,0.05,probability,0,0.6554588079452515
V1,164.0,final_sickled,256,265.0,64.0,66.25,2.25,completed,0.021779129082006965,0.0491709501715377,0.0375412181019783,0.014025778897727529,0.005130256941941168,0.004900251116071429,6,0.05,probability,0,0.5615451335906982
V1,165.0,final_sickled,112,114.0,28.0,28.5,0.5,completed,0.010252878764211867,0.03364080898463726,0.01942888753754752,0.004894372408411333,0.0033430897165089846,0.002803257533482143,6,0.05,probability,0,0.8591253161430359
V1,166.0,final_sickled,151,154.0,37.75,38.5,0.75,completed,0.02830318679334596,0.04435471615288407,0.04219408705830574,0.028481185261625797,0.0058930894592776895,0.005764007568359375,6,0.05,probability,0,0.8327919840812683
V1,168.0,semi_sickled,184,185.0,46.0,46.25,0.25,completed,0.011850064391425502,0.01912535990122706,0.018069395174582798,0.01016423296338568,0.004001996712759137,0.0045166015625,6,0.05,probability,0,0.6335719227790833
V1,169.0,semi_sickled,318,319.0,79.5,79.75,0.25,completed,0.007908550503392084,0.018808684637770058,0.013194972028334936,0.004730689688585699,0.003724465728737414,0.0040740966796875,6,0.05,probability,0,0.7274079322814941
V1,170.0,final_sickled,387,418.0,96.75,104.5,7.75,completed,0.02387227105193435,0.06076383128529415,0.04279041455851661,0.015748262670563742,0.005146340085452216,0.004807366265190972,6,0.05,probability,0,0.5093469619750977
V1,171.0,semi_sickled,252,253.0,63.0,63.25,0.25,completed,0.012379424029495566,0.01881082314066589,0.017006235818068188,0.012179969383093217,0.005984749256943663,0.004526774088541667,6,0.05,probability,0,0.7238272428512573
V1,173.0,semi_sickled,259,286.0,64.75,71.5,6.75,completed,0.017482648947725464,0.04543182493653149,0.03244011756032705,0.010091834069498873,0.004399645753437653,0.0033960342407226562,6,0.05,probability,0,0.6809583902359009
V1,174.0,final_sickled,114,120.0,28.5,30.0,1.5,completed,0.01447747101642149,0.052669005969073625,0.02760436792265285,0.0063808762934058905,0.005419008677232672,0.004200328480113636,6,0.05,probability,0,0.9147475957870483
V1,176.0,semi_sickled,422,423.0,105.5,105.75,0.25,completed,0.01590270970724911,0.025699077476747333,0.027067219217618305,0.01135600513468186,0.004181262435546766,0.004628499348958333,6,0.05,probability,0,0.502086877822876
V1,177.0,semi_sickled,317,318.0,79.25,79.5,0.25,completed,0.010160655618043772,0.017697933223098518,0.008530975629885992,0.016485635035981733,0.003360605895674477,0.004465738932291667,6,0.05,probability,0,0.7785280346870422
V1,178.0,semi_sickled,200,211.0,50.0,52.75,2.75,completed,0.0241557196370195,0.05095294192433358,0.0458810580894351,0.013120606978191063,0.00495463236438809,0.004734039306640625,6,0.05,probability,0,0.6099510192871094
V1,180.0,semi_sickled,375,386.0,93.75,96.5,2.75,completed,0.02003041085354198,0.05291842344449833,0.038350917398929596,0.010771910267067142,0.003708337120770011,0.003650665283203125,6,0.05,probability,0,0.9200824499130249
V1,181.0,final_sickled,308,313.0,77.0,78.25,1.25,completed,0.012949667131179014,0.03277701607148629,0.025775539875030517,0.005479229852790013,0.002712852775584906,0.0030609130859375,6,0.05,probability,0,0.6361933350563049
V1,182.0,final_sickled,138,139.0,34.5,34.75,0.25,completed,0.013975080766249448,0.020433241873979567,0.017153300965825718,0.01700438039066891,0.004882941643397014,0.004414876302083333,6,0.05,probability,0,0.8371025323867798
V1,183.0,final_sickled,224,230.0,56.0,57.5,1.5,completed,0.01969099734401838,0.047124168393202125,0.03371474553238262,0.013968643711202523,0.0051463996060192585,0.005382191051136364,6,0.05,probability,0,0.7966273427009583
V1,185.0,final_sickled,132,145.0,33.0,36.25,3.25,completed,0.025263940857096004,0.18034023670479654,0.0427115588552422,0.018789732647645805,0.006640086694258369,0.006183200412326389,6,0.05,probability,0,0.6416479349136353
V1,186.0,semi_sickled,235,260.0,58.75,65.0,6.25,completed,0.02639955859900511,0.07147385549033061,0.05158425445357959,0.014077656196119885,0.003640366084679651,0.0030690511067708332,6,0.05,probability,0,0.6296340227127075
V1,191.0,semi_sickled,272,273.0,68.0,68.25,0.25,completed,0.009725384691652532,0.016886591620277613,0.011488044013579687,0.011528070084750652,0.0049124393456925946,0.0038503011067708335,6,0.05,probability,0,0.8229513168334961
V1,192.0,semi_sickled,248,266.0,62.0,66.5,4.5,completed,0.02766009983707867,0.15179038494825364,0.049765507164208786,0.01835855985890426,0.006037629786473902,0.004589578379755435,6,0.05,probability,0,0.6619600057601929
V1,193.0,final_sickled,172,185.0,43.0,46.25,3.25,completed,0.02404912822983331,0.05669447204563767,0.04189907428291109,0.016425398411229253,0.006319691375311878,0.006005181206597222,6,0.05,probability,0,0.6667460203170776
V1,194.0,final_sickled,218,220.0,54.5,55.0,0.5,completed,0.015448140591200043,0.045295070856809616,0.025577350120459284,0.012061996185886008,0.0029329742870426606,0.005031040736607143,6,0.05,probability,0,0.794246256351471
V1,195.0,semi_sickled,251,312.0,62.75,78.0,15.25,completed,0.03129523608533253,0.10622316038934515,0.06316081919904912,0.01381952577679785,0.00487092115376568,0.004681673916903409,6,0.05,probability,0,0.6493344306945801
V1,196.0,final_sickled,156,157.0,39.0,39.25,0.25,completed,0.006181281441240571,0.012143286247737705,0.0035224631428718567,0.010565990659718713,0.004534757734897236,0.004058837890625,6,0.05,probability,0,0.9655376672744751
