FrameIndex,Frame,Class_0,Class_0_pos,Class_0_total,Class_1,Class_1_pos,Class_1_total,Class_2,Class_2_pos,Class_2_total,Class_3,Class_3_pos,Class_3_total,Class_4,Class_4_pos,Class_4_total,Class_5,Class_5_pos,Class_5_total,Class_6,Class_6_pos,Class_6_total
113,226,0.2794871794871795,281,390,0.30000000000000004,203,290,0.33587786259541985,87,131,0.4545454545454546,12,22,0.19999999999999996,8,10,0.1428571428571429,24,28,0.5625,35,80
114,228,0.2897435897435897,277,390,0.3068965517241379,201,290,0.3587786259541985,84,131,0.4545454545454546,12,22,0.19999999999999996,8,10,0.1428571428571429,24,28,0.5875,33,80
115,230,0.30000000000000004,273,390,0.3068965517241379,201,290,0.3740458015267175,82,131,0.4545454545454546,12,22,0.19999999999999996,8,10,0.1428571428571429,24,28,0.6,32,80
116,232,0.3128205128205128,268,390,0.3137931034482758,199,290,0.3740458015267175,82,131,0.4545454545454546,12,22,0.19999999999999996,8,10,0.1428571428571429,24,28,0.6125,31,80
117,234,0.3153846153846154,267,390,0.32068965517241377,197,290,0.3740458015267175,82,131,0.4545454545454546,12,22,0.19999999999999996,8,10,0.1428571428571429,24,28,0.625,30,80
118,236,0.31794871794871793,266,390,0.3310344827586207,194,290,0.38167938931297707,81,131,0.4545454545454546,12,22,0.19999999999999996,8,10,0.1428571428571429,24,28,0.625,30,80
119,238,0.3256410256410256,263,390,0.34827586206896555,189,290,0.38167938931297707,81,131,0.4545454545454546,12,22,0.19999999999999996,8,10,0.1428571428571429,24,28,0.625,30,80
120,240,0.33333333333333337,260,390,0.3517241379310345,188,290,0.38167938931297707,81,131,0.4545454545454546,12,22,0.19999999999999996,8,10,0.1428571428571429,24,28,0.625,30,80
121,242,0.34102564102564104,257,390,0.3517241379310345,188,290,0.38167938931297707,81,131,0.5,11,22,0.19999999999999996,8,10,0.1428571428571429,24,28,0.625,30,80
122,244,0.3435897435897436,256,390,0.35862068965517246,186,290,0.38167938931297707,81,131,0.5454545454545454,10,22,0.19999999999999996,8,10,0.1428571428571429,24,28,0.625,30,80
123,246,0.3487179487179487,254,390,0.3655172413793103,184,290,0.3893129770992366,80,131,0.5454545454545454,10,22,0.19999999999999996,8,10,0.1428571428571429,24,28,0.6375,29,80
124,248,0.35128205128205126,253,390,0.37241379310344824,182,290,0.3893129770992366,80,131,0.5454545454545454,10,22,0.19999999999999996,8,10,0.1428571428571429,24,28,0.6375,29,80
125,250,0.3538461538461538,252,390,0.3793103448275862,180,290,0.3893129770992366,80,131,0.5909090909090908,9,22,0.19999999999999996,8,10,0.1428571428571429,24,28,0.6375,29,80
126,252,0.35641025641025637,251,390,0.38620689655172413,178,290,0.3969465648854962,79,131,0.5909090909090908,9,22,0.19999999999999996,8,10,0.1785714285714286,23,28,0.65,28,80
127,254,0.35641025641025637,251,390,0.38620689655172413,178,290,0.40458015267175573,78,131,0.5909090909090908,9,22,0.19999999999999996,8,10,0.1785714285714286,23,28,0.65,28,80
128,256,0.35641025641025637,251,390,0.3896551724137931,177,290,0.4122137404580153,77,131,0.5909090909090908,9,22,0.19999999999999996,8,10,0.1785714285714286,23,28,0.6625,27,80
129,258,0.36410256410256414,248,390,0.3931034482758621,176,290,0.4122137404580153,77,131,0.5909090909090908,9,22,0.19999999999999996,8,10,0.1785714285714286,23,28,0.6625,27,80
130,260,0.36923076923076925,246,390,0.3931034482758621,176,290,0.4122137404580153,77,131,0.5909090909090908,9,22,0.19999999999999996,8,10,0.1785714285714286,23,28,0.6625,27,80
131,262,0.37435897435897436,244,390,0.3931034482758621,176,290,0.4274809160305344,75,131,0.5909090909090908,9,22,0.19999999999999996,8,10,0.1785714285714286,23,28,0.6625,27,80
132,264,0.37948717948717947,242,390,0.39655172413793105,175,290,0.4274809160305344,75,131,0.5909090909090908,9,22,0.19999999999999996,8,10,0.1785714285714286,23,28,0.6625,27,80
133,266,0.382051282051282,241,390,0.40689655172413797,172,290,0.43511450381679384,74,131,0.5909090909090908,9,22,0.19999999999999996,8,10,0.1785714285714286,23,28,0.6625,27,80
134,268,0.3897435897435897,238,390,0.41034482758620694,171,290,0.4427480916030534,73,131,0.5909090909090908,9,22,0.19999999999999996,8,10,0.1785714285714286,23,28,0.675,26,80
135,270,0.3897435897435897,238,390,0.4137931034482759,170,290,0.4427480916030534,73,131,0.5909090909090908,9,22,0.19999999999999996,8,10,0.1785714285714286,23,28,0.675,26,80
136,272,0.3897435897435897,238,390,0.42068965517241375,168,290,0.46564885496183206,70,131,0.5909090909090908,9,22,0.19999999999999996,8,10,0.1785714285714286,23,28,0.675,26,80
137,274,0.39230769230769236,237,390,0.4241379310344827,167,290,0.46564885496183206,70,131,0.5909090909090908,9,22,0.19999999999999996,8,10,0.1785714285714286,23,28,0.675,26,80
138,276,0.39230769230769236,237,390,0.4241379310344827,167,290,0.4732824427480916,69,131,0.5909090909090908,9,22,0.19999999999999996,8,10,0.1785714285714286,23,28,0.675,26,80
139,278,0.39230769230769236,237,390,0.43448275862068964,164,290,0.4732824427480916,69,131,0.5909090909090908,9,22,0.19999999999999996,8,10,0.1785714285714286,23,28,0.675,26,80
140,280,0.39230769230769236,237,390,0.4413793103448276,162,290,0.4732824427480916,69,131,0.5909090909090908,9,22,0.19999999999999996,8,10,0.1785714285714286,23,28,0.675,26,80
141,282,0.3948717948717949,236,390,0.4413793103448276,162,290,0.4732824427480916,69,131,0.5909090909090908,9,22,0.19999999999999996,8,10,0.1785714285714286,23,28,0.7125,23,80
142,284,0.39743589743589747,235,390,0.4482758620689655,160,290,0.4732824427480916,69,131,0.6363636363636364,8,22,0.19999999999999996,8,10,0.1785714285714286,23,28,0.725,22,80
143,286,0.4,234,390,0.45517241379310347,158,290,0.4961832061068703,66,131,0.6363636363636364,8,22,0.19999999999999996,8,10,0.1785714285714286,23,28,0.725,22,80
144,288,0.4025641025641026,233,390,0.45862068965517244,157,290,0.5038167938931297,65,131,0.6363636363636364,8,22,0.19999999999999996,8,10,0.1785714285714286,23,28,0.725,22,80
145,290,0.4076923076923077,231,390,0.4620689655172414,156,290,0.5190839694656488,63,131,0.6363636363636364,8,22,0.30000000000000004,7,10,0.1785714285714286,23,28,0.725,22,80
146,292,0.41025641025641024,230,390,0.4620689655172414,156,290,0.5190839694656488,63,131,0.6363636363636364,8,22,0.30000000000000004,7,10,0.1785714285714286,23,28,0.725,22,80
147,294,0.41538461538461535,228,390,0.46896551724137936,154,290,0.5190839694656488,63,131,0.6363636363636364,8,22,0.30000000000000004,7,10,0.1785714285714286,23,28,0.725,22,80
148,296,0.41538461538461535,228,390,0.4724137931034482,153,290,0.5190839694656488,63,131,0.6363636363636364,8,22,0.30000000000000004,7,10,0.1785714285714286,23,28,0.725,22,80
149,298,0.41538461538461535,228,390,0.4758620689655172,152,290,0.5267175572519084,62,131,0.6363636363636364,8,22,0.30000000000000004,7,10,0.1785714285714286,23,28,0.725,22,80
150,300,0.42051282051282046,226,390,0.48275862068965514,150,290,0.5267175572519084,62,131,0.6363636363636364,8,22,0.30000000000000004,7,10,0.1785714285714286,23,28,0.725,22,80
151,302,0.4256410256410257,224,390,0.4862068965517241,149,290,0.5267175572519084,62,131,0.6363636363636364,8,22,0.30000000000000004,7,10,0.1785714285714286,23,28,0.725,22,80
152,304,0.42820512820512824,223,390,0.4896551724137931,148,290,0.5343511450381679,61,131,0.6363636363636364,8,22,0.30000000000000004,7,10,0.1785714285714286,23,28,0.725,22,80
153,306,0.43333333333333335,221,390,0.49310344827586206,147,290,0.5343511450381679,61,131,0.6363636363636364,8,22,0.30000000000000004,7,10,0.1785714285714286,23,28,0.725,22,80
154,308,0.43333333333333335,221,390,0.5,145,290,0.5343511450381679,61,131,0.6363636363636364,8,22,0.30000000000000004,7,10,0.1785714285714286,23,28,0.725,22,80
155,310,0.4358974358974359,220,390,0.503448275862069,144,290,0.5343511450381679,61,131,0.6363636363636364,8,22,0.30000000000000004,7,10,0.1785714285714286,23,28,0.725,22,80
156,312,0.43846153846153846,219,390,0.5103448275862069,142,290,0.5419847328244275,60,131,0.6363636363636364,8,22,0.30000000000000004,7,10,0.1785714285714286,23,28,0.725,22,80
157,314,0.43846153846153846,219,390,0.5103448275862069,142,290,0.5419847328244275,60,131,0.6363636363636364,8,22,0.30000000000000004,7,10,0.1785714285714286,23,28,0.725,22,80
158,316,0.441025641025641,218,390,0.5103448275862069,142,290,0.549618320610687,59,131,0.6818181818181819,7,22,0.30000000000000004,7,10,0.1785714285714286,23,28,0.7375,21,80
